TextID,URL,Label,totalWordsCount,semanticobjscore,semanticsubjscore,CC,CD,DT,EX,FW,INs,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TOs,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,baseform,Quotes,questionmarks,exclamationmarks,fullstops,commas,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,pronouns3rd,compsupadjadv,past,imperative,present3rd,present1st2nd,sentence1st,sentencelast,txtcomplexity,site
Text0476,http://www.nba.com/2013/news/02/18/bulls-rose-five-on-five-drills.ap/index.html?ls=iref:nbahpts,0,213,19,1,5,20,0,7,23,19,0,2,0,0,51,5,0,17,0,0,6,4,8,0,0,2,0,4,0,0,7,2,5,7,8,1,0,0,1,0,2,1,0,0,14,2,0,0,0,0,0,9,2,7,0,8,7,1,1,12,www.nba.com
Text0477,http://msn.foxsports.com/boxing/story/muhammad-ali-celebrates-birthday-watching-george-foreman-bout-011813,0,325,13,4,2,30,0,4,43,24,1,1,0,1,88,1,0,15,0,0,12,6,10,0,1,2,2,4,0,0,25,4,5,3,4,2,3,0,1,0,6,7,1,0,16,19,0,0,0,0,0,14,3,25,0,4,3,1,1,17,msn.foxsports.com
Text0478,http://msn.foxsports.com/foxsoccer/laliga/story/spanish-newspaper-marca-stands-by-jose-mourinho-player-revol-claim-012513,0,394,24,3,6,42,1,5,55,23,0,2,0,2,113,4,0,28,1,0,4,7,11,0,0,0,2,3,0,1,20,8,14,6,5,4,1,0,1,0,8,5,0,0,17,10,0,2,0,0,0,8,2,20,1,5,6,1,1,20,msn.foxsports.com
Text0479,http://www.foxsportsdetroit.com/02/18/13/Kobe-to-Detroit-almost-happend-in-2007/msn_landing.html?blockID=866155&feedID=3580,0,294,16,1,6,30,0,7,31,11,1,1,0,3,80,2,0,20,0,0,2,2,7,1,0,2,0,7,0,1,21,1,15,3,2,3,0,0,3,0,12,0,1,1,13,11,0,0,0,0,0,4,3,21,1,2,3,1,1,17,www.foxsportsdetroit.com
Text0480,http://www.tennis.com/pro-game/2013/01/djokovic-looks-ahead-roland-garros/46209/,0,236,11,2,3,21,1,10,25,19,0,1,0,1,45,1,0,10,1,1,8,2,11,0,0,1,0,8,0,1,5,4,2,8,7,0,1,0,0,0,10,0,0,0,11,17,0,0,0,0,2,6,1,5,1,7,8,1,1,23,www.tennis.com
Text0481,"http://www.chicagotribune.com/sports/college/chi-fighting-illini-news-illinois-play-at-ohio-state-will-determine-big-ten-ncaa-tourney-seedings-20130310,0,6941202.story",0,282,17,8,20,28,0,6,36,19,1,0,0,5,72,3,0,19,0,0,1,0,11,0,0,0,0,3,0,0,12,8,2,1,3,1,2,0,0,0,9,0,0,0,17,11,0,0,0,0,0,1,1,12,0,3,1,1,1,12,www.chicagotribune.com
Text0482,http://www.foxsportsflorida.com/01/25/13/Half-court-hook-shot-wins-fan-75000/msn_landing.html?blockID=854803&feedID=3720&from=foxsports%2FNBA%2BBasketball%2Fheadlines,0,485,11,5,17,39,0,11,46,14,0,2,0,5,102,2,0,30,0,0,23,5,20,0,1,4,11,7,0,3,48,11,10,9,5,1,6,0,1,0,13,14,0,0,43,23,0,0,0,1,0,16,3,48,3,5,9,1,1,10,www.foxsportsflorida.com
Text0483,http://msn.foxsports.com/cycling/story/lance-armstrong-admits-to-oprah-winfrey-years-of-doping-tour-de-france-011713,0,2243,104,59,32,169,6,54,234,119,2,4,0,20,377,10,0,88,1,9,96,54,106,1,2,11,3,65,0,12,150,54,48,37,35,15,14,0,6,0,81,6,0,0,69,142,1,1,0,18,7,81,9,150,12,35,37,1,1,49,msn.foxsports.com
Text0484,http://uk.eurosport.yahoo.com/news/formula-1-rosberg-fastest-day-one-barcelona-163627038.html,0,465,27,1,46,39,0,72,48,39,0,2,0,0,93,2,0,31,0,0,3,7,8,0,0,2,0,11,0,0,20,8,5,2,2,0,0,1,0,0,6,0,0,0,25,12,0,1,0,0,0,8,2,20,0,2,2,1,1,17,uk.eurosport.yahoo.com
Text0485,http://msn.foxsports.com/foxsoccer/soccer/story/iker-casillas-out-8-12-weeks-with-broken-hand-real-madrid-012513,0,231,7,5,7,11,0,9,32,10,0,0,0,6,65,7,0,15,0,0,3,6,9,1,1,1,1,0,0,3,7,5,7,3,3,0,1,0,1,0,7,4,0,0,12,6,0,0,0,0,0,7,2,7,3,3,3,1,1,16,msn.foxsports.com
Text0486,http://msn.foxsports.com/wnba/story/Laimbeer-joins-Liberty-as-general-manager-coach-54128095,0,191,8,5,6,21,0,2,15,14,0,0,0,2,61,0,0,14,0,0,4,4,2,0,0,0,2,7,0,1,8,1,1,3,4,0,1,0,0,0,10,4,0,0,11,5,0,0,0,4,0,3,0,8,1,4,3,1,1,14,msn.foxsports.com
Text0487,http://msn.foxsports.com/wcbk/story/No-17-Dayton-83-UMass-44-32665722,0,186,9,2,28,15,0,0,19,13,0,0,0,0,39,1,0,12,0,0,0,2,4,0,0,1,0,3,0,0,10,4,2,2,2,0,1,0,0,0,5,0,0,0,8,9,0,1,0,0,0,0,0,10,0,2,2,1,1,16,msn.foxsports.com
Text0488,http://msn.foxsports.com/nhl/story/tampa-bay-lightning-beat-philadelphia-flyers-5-1-martin-st-louis-four-assists-012713,0,527,25,4,32,45,0,6,46,33,1,0,0,3,134,1,0,40,0,0,23,5,21,2,0,1,11,6,0,2,33,11,8,9,10,0,2,0,4,0,9,12,0,0,44,17,0,3,0,13,1,11,3,33,2,10,9,1,1,12,msn.foxsports.com
Text0489,http://uk.eurosport.yahoo.com/blogs/world-of-sport/belfast-team-quits-over-sex-offender-owner-150713118.html,0,677,26,9,16,88,1,0,78,31,1,2,0,6,145,5,0,34,0,4,23,10,19,1,1,2,1,27,1,4,38,16,21,4,11,8,2,0,2,0,17,2,0,0,25,23,0,1,0,8,2,13,5,38,4,11,4,0,1,29,uk.eurosport.yahoo.com
Text0490,http://msn.foxsports.com/nfl/story/former-baltimore-ravens-offensive-coordinator-cam-cameron-says-firing-was-brilliant-move-012413,0,190,11,6,10,21,0,0,20,10,0,0,0,0,53,1,0,16,0,0,6,1,5,0,0,0,2,4,0,1,14,3,3,1,3,0,1,0,1,0,5,4,0,0,10,6,0,0,0,0,0,4,0,14,1,3,1,1,1,15,msn.foxsports.com
Text0491,http://www.nba.com/pistons/news/pistons-vs-grizzlies-game-preview-feb-19-2013,0,504,27,9,41,43,0,6,55,33,2,2,0,3,109,4,0,45,0,0,6,9,18,1,0,1,4,11,0,2,24,8,9,13,3,3,1,0,2,0,15,4,0,0,24,17,0,0,0,3,0,10,5,24,2,3,13,1,1,18,www.nba.com
Text0492,http://msn.foxsports.com/tennis/story/lance-armstrong-novak-djokovic-slams-cyclist-defends-tennis-testing-011713,0,641,25,6,8,42,2,12,61,40,2,2,0,5,151,3,0,32,2,0,35,11,29,2,0,0,17,16,0,2,37,10,17,19,8,4,1,0,4,0,14,26,0,0,46,33,0,0,0,6,1,25,6,37,2,8,19,1,1,13,msn.foxsports.com
Text0493,http://msn.foxsports.com/foxsoccer/seriea/story/inter-milan-2-2-torino-serie-a-match-report-012713,0,374,21,3,3,45,0,2,49,24,0,0,0,1,98,0,0,15,0,0,10,8,20,0,0,2,0,12,0,1,28,7,7,1,3,2,1,0,3,0,10,0,0,0,13,12,0,0,0,0,0,14,0,28,1,3,1,1,1,24,msn.foxsports.com
Text0494,http://network.yardbarker.com/mlb/article_external/josh_hamilton_thinks_dallas_isnt_a_good_baseball_town/12942091?linksrc=foxrg_home,0,429,24,16,21,46,1,11,45,17,2,0,0,5,84,0,0,40,1,0,10,7,21,0,0,6,3,9,0,4,20,9,8,9,5,1,2,0,1,0,11,8,0,0,22,15,0,0,0,3,4,4,2,20,4,5,9,1,1,17,network.yardbarker.com
Text0495,http://www.foxsportswisconsin.com/06/15/12/Butler-All-those-hits-catch-up-with-you/landing_packers.html?blockID=746802&feedID=5059,0,1026,68,30,30,99,0,5,111,52,5,2,0,16,227,0,0,68,1,0,41,9,33,5,0,2,9,30,0,8,50,19,22,21,22,6,10,0,3,0,27,15,2,0,54,51,0,0,0,3,18,21,12,50,8,22,21,1,1,17,www.foxsportswisconsin.com
Text0496,http://www.dailystar.co.uk/football/view/299377/Manchester-United-target-Isco-admits-he-could-leave-Malaga-but-only-for-30m/,0,212,12,5,3,21,0,0,24,20,1,1,0,4,67,1,0,6,0,0,5,5,1,0,0,1,0,5,0,0,7,4,7,3,5,0,0,0,0,0,4,1,0,0,10,7,0,0,0,0,0,10,2,7,0,5,3,1,1,17,www.dailystar.co.uk
Text0497,http://msn.foxsports.com/mlb/story/chicago-cubs-plan-wrigley-field-renovation-five-years-300-million-012313,0,847,41,10,15,92,1,4,66,47,5,3,0,15,158,8,0,59,0,4,41,9,29,0,0,1,0,27,0,9,26,13,16,28,17,6,3,0,5,0,19,0,1,0,44,40,0,0,0,21,2,17,8,26,9,17,28,1,1,35,msn.foxsports.com
Text0498,http://uk.eurosport.yahoo.com/news/cross-country-skiing-bjoergen-kriukov-win-world-championship-135234548.html,0,451,32,3,19,35,0,13,58,36,1,0,0,0,140,4,0,13,0,0,8,8,28,0,0,1,1,12,0,1,25,9,3,2,4,0,1,0,1,0,12,6,0,0,21,6,0,2,0,0,0,13,1,25,1,4,2,1,1,19,uk.eurosport.yahoo.com
Text0499,http://msn.foxsports.com/nfl/story/nfc-championship-game-san-francisco-49ers-defeat-atlanta-falcons-012013,0,1606,93,22,66,183,2,19,175,123,3,7,0,7,325,6,0,111,1,0,41,25,50,0,0,22,7,39,0,9,110,42,24,7,16,11,7,1,5,0,44,15,0,0,84,78,0,4,0,4,0,43,10,110,9,16,7,1,1,18,msn.foxsports.com
Text0500,http://msn.foxsports.com/wnba/story/Seton-Hall-coach-to-take-job-with-WNBAs-Sun-43499559,0,151,5,0,9,15,0,0,17,5,0,0,0,0,49,2,0,7,0,0,2,1,3,0,0,1,0,6,0,0,6,3,4,0,6,0,3,0,0,0,3,0,0,0,6,7,0,0,0,0,0,3,0,6,0,6,0,1,1,18,msn.foxsports.com
Text0501,http://dailystar.com.lb/Sports/Basketball/2013/Feb-18/206851-champville-beat-mouttahed-tie-seasons-longest-winning-streak.ashx,0,736,46,13,57,65,0,8,93,56,0,3,0,0,155,4,0,59,0,4,2,14,25,0,0,3,0,18,0,2,49,22,11,5,4,0,0,0,1,0,24,0,0,0,35,35,0,1,0,0,0,16,3,49,2,4,5,1,1,19,dailystar.com.lb
Text0502,http://www.nba.com/clippers/news/del-negros-second-perfect-month,0,882,55,17,32,100,3,20,89,60,0,1,0,2,168,11,0,59,1,10,31,6,31,1,1,2,0,12,0,9,31,12,13,25,26,4,4,0,4,0,21,0,0,0,41,43,0,3,0,10,4,18,3,31,9,26,25,1,1,33,www.nba.com
Text0503,http://msn.foxsports.com/horseracing/story/5-more-wins-for-jockey-Irad-Ortiz-Jr-at-Big-A-012113,0,107,7,4,9,10,0,0,14,9,1,0,0,0,34,1,0,6,0,0,0,2,1,0,1,0,0,1,0,0,7,1,1,2,1,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,2,2,7,0,1,2,1,1,10,msn.foxsports.com
Text0504,http://msn.foxsports.com/nfl/story/new-york-jets-gm-john-idzik-does-not-want-to-trade-darrelle-revis-022113,0,447,25,11,8,31,0,5,42,26,2,3,0,6,87,1,0,26,2,0,26,11,21,0,0,0,7,14,0,2,22,6,11,10,12,2,0,0,3,0,18,9,0,0,25,22,0,0,0,5,1,17,5,22,2,12,10,1,1,16,msn.foxsports.com
Text0505,http://uk.eurosport.yahoo.com/news/cycling-hamilton-reveals-puerto-doctor-184354764.html,0,644,23,7,26,47,0,2,78,33,0,2,0,2,161,3,0,49,0,0,18,15,12,1,0,0,3,13,0,0,51,19,25,5,6,1,6,0,5,0,19,12,0,0,25,27,0,2,0,0,0,27,3,51,0,6,5,1,1,23,uk.eurosport.yahoo.com
Text0506,http://www.nba.com/pistons/news/detroit-pistons-host-pistons-fit-week-presented-humana,0,426,23,14,20,33,0,4,50,32,4,0,0,5,115,3,0,54,0,1,1,0,1,0,0,3,0,7,0,3,2,8,2,11,6,1,0,0,2,0,20,0,0,1,13,24,2,1,0,0,0,1,4,2,3,6,11,1,1,25,www.nba.com
Text0507,http://msn.foxsports.com/nfl/story/San-Francisco-49ers-defeat-Green-Bay-Packers-011213,0,1445,108,22,68,156,1,10,186,129,2,1,0,2,323,7,0,109,0,0,37,21,50,0,1,12,12,30,0,8,92,37,20,9,14,8,4,0,2,0,31,15,0,0,83,30,0,2,0,9,0,33,4,92,8,14,9,1,1,17,msn.foxsports.com
Text0508,http://msn.foxsports.com/boxing/story/floyd-mayweather-jr-to-fight-robert-guerrero-on-showtime-may-4-021913,0,981,60,14,20,67,0,7,109,83,4,5,0,8,244,7,0,55,0,0,34,28,31,4,0,4,9,18,0,1,30,27,17,20,36,3,6,0,2,0,24,18,1,0,55,47,0,3,0,9,4,44,13,30,1,36,20,1,1,16,msn.foxsports.com
Text0509,http://uk.eurosport.yahoo.com/news/tennis-errani-comes-dubai-battle-154823782.html,0,442,26,5,28,44,0,17,46,36,0,0,0,2,103,1,0,23,1,0,12,5,10,0,0,1,3,14,0,1,32,6,5,5,4,2,3,0,1,0,10,5,0,0,19,15,0,1,0,1,0,13,0,32,1,4,5,1,1,21,uk.eurosport.yahoo.com
Text0510,http://www.nba.com/pistons/features/truebluepistons_130210.html,0,917,65,19,3,90,6,1,97,77,5,2,0,18,183,3,0,34,0,10,42,16,41,1,0,6,0,32,0,4,23,16,19,13,31,1,5,0,9,0,19,0,0,0,41,37,0,2,0,1,4,39,8,23,4,31,13,1,1,22,www.nba.com
Text0511,http://www.foxsportswest.com/12/23/12/Nashs-return-could-turn-Lakers-around/msn_landing.html?blockID=839247&feedID=7972,0,828,46,15,25,80,1,7,88,55,1,1,0,4,157,0,0,46,0,0,45,14,41,2,2,5,4,24,0,5,53,20,14,11,16,8,6,0,1,0,26,8,5,1,36,38,0,1,0,4,2,29,6,53,5,16,11,1,1,18,www.foxsportswest.com
Text0512,http://www.foxsportssouthwest.com/12/13/12/Bryant-Im-playing-Sunday-vs-Steelers/msn_landing.html?blockID=834945&feedID=3742,0,254,11,4,0,23,0,1,19,12,0,0,0,4,79,5,0,9,0,0,14,1,9,0,0,0,5,11,0,1,16,5,2,4,9,4,1,0,1,0,5,7,0,0,21,0,0,0,0,4,0,11,0,16,1,9,4,1,1,11,www.foxsportssouthwest.com
Text0513,http://msn.foxsports.com/nfl/story/jovan-belcher-undrafted-free-agent-turned-starter-nfl-maine-black-bears-120112,0,1016,36,19,35,87,2,7,103,70,2,0,0,1,245,6,0,55,1,5,33,25,25,2,0,1,0,26,0,6,62,21,16,16,18,0,5,0,4,0,27,1,0,0,58,63,0,4,0,4,3,40,4,62,6,18,16,0,1,21,msn.foxsports.com
Text0514,http://www.tennis.com/pro-game/2013/01/australian-open-djokovic-d-murray/46208/,0,958,71,21,33,116,0,5,98,85,4,0,0,6,201,1,0,31,0,7,27,12,40,1,1,9,0,25,0,4,65,11,10,3,14,8,2,0,6,0,32,0,1,0,44,47,1,3,0,1,0,26,6,65,4,14,3,1,1,21,www.tennis.com
Text0515,http://www.und.com/sports/w-baskbl/recaps/120512aaa.html,0,1282,71,19,107,111,0,14,157,113,2,9,0,1,296,2,0,81,0,0,22,21,33,2,1,4,3,13,0,1,83,31,16,14,13,2,2,0,10,0,18,13,0,0,58,51,1,1,0,2,0,36,14,83,1,13,14,1,1,18,www.und.com
Text0516,http://www.nytimes.com/2013/03/10/sports/tennis/david-ferrer-out-in-second-round-at-bnp-paribas-open.html?_r=0,0,150,4,1,16,14,0,4,13,10,0,0,0,0,38,2,0,4,0,0,0,0,1,0,0,0,0,3,0,0,5,3,2,1,4,0,1,0,0,0,1,0,0,0,6,22,0,0,0,0,0,0,0,5,0,4,1,1,1,16,www.nytimes.com
Text0517,http://msn.foxsports.com/mlb/story/bullpen-calls-go-wireless-in-2013-thanks-to-mlb-partnership-with-t-mobile-010813,0,265,7,4,7,21,0,2,34,20,1,0,0,8,58,2,0,26,0,0,2,3,6,0,0,1,0,8,0,2,2,5,11,6,4,3,0,0,0,0,5,0,1,0,12,9,0,2,0,1,1,1,1,2,2,4,6,1,1,17,msn.foxsports.com
Text0518,http://www.football365.com/news/21554/8447002/FA-Cup-fifth-round,0,163,7,2,6,13,0,5,22,9,0,0,0,3,50,2,0,6,0,0,2,1,2,0,0,2,0,6,0,1,10,0,5,3,0,0,2,0,0,0,1,0,0,0,6,9,0,0,0,0,0,3,0,10,1,0,3,1,1,20,www.football365.com
Text0519,http://www.wnba.com/features/working_out_index.html,0,2048,127,50,28,176,1,49,216,159,9,11,0,12,503,9,0,106,2,0,64,44,95,4,3,19,0,48,0,25,34,41,18,17,113,6,7,0,20,0,74,2,16,1,83,77,0,0,0,0,9,86,27,34,25,113,17,1,1,20,www.wnba.com
Text0520,http://msn.foxsports.com/foxsoccer/seriea/story/match-report-atalanta-0-1-ac-milan-serie-a-week-nineteen-012713,0,491,30,10,4,52,0,20,55,39,0,3,0,4,107,2,0,32,0,0,1,8,22,0,0,7,0,15,0,2,30,14,13,5,1,0,2,0,2,0,14,0,0,0,18,20,0,0,0,0,0,9,3,30,2,1,5,1,1,24,msn.foxsports.com
Text0521,http://msn.foxsports.com/tennis/story/gussie-moran-dies-skirt-scandalized-1949-wimbledon-011813,0,573,30,6,10,39,0,13,75,42,1,1,0,8,137,1,0,28,0,0,25,14,20,0,0,1,6,6,0,1,49,9,11,2,1,1,2,0,2,0,26,12,0,0,33,29,0,0,0,0,0,34,2,49,1,1,2,1,1,16,msn.foxsports.com
Text0522,http://uk.eurosport.yahoo.com/blogs/world-of-sport/thanks-goal-now-club-fine-103434531.html,0,230,11,1,6,24,0,2,29,8,0,0,0,2,60,0,0,11,0,1,8,9,11,0,0,2,1,5,0,0,10,5,7,3,3,1,2,0,0,0,1,4,0,0,11,7,0,3,0,0,0,14,0,10,0,3,3,1,1,17,uk.eurosport.yahoo.com
Text0523,http://msn.foxsports.com/nfl/story/NFC-defeats-AFC-Kyle-Rudolph-wins-MVP-in-Pro-Bowl-012713,0,776,54,10,22,82,2,8,83,53,1,2,0,2,189,10,0,53,0,0,21,3,30,3,0,10,7,15,0,4,67,17,13,4,5,1,2,0,2,0,17,12,0,0,46,33,1,0,0,4,1,9,6,67,4,5,4,1,1,16,msn.foxsports.com
Text0524,http://msn.foxsports.com/nfl/story/junior-seau-death-sports-world-reaction-050212,0,571,38,29,7,51,0,10,43,49,3,5,0,6,127,0,0,37,1,0,24,21,35,0,0,7,0,21,0,8,25,5,5,13,6,1,1,0,1,0,22,0,2,10,60,6,0,1,0,13,2,16,8,25,8,6,13,1,1,8,msn.foxsports.com
Text0525,http://www.football365.com/news/21554/8442458/Hughton-Frustrated,0,103,7,1,4,6,0,2,10,9,0,0,0,0,41,0,0,3,0,0,1,2,1,0,0,0,0,1,0,1,5,1,4,2,0,0,1,1,0,0,2,3,0,0,6,5,0,0,0,0,0,3,0,5,1,0,2,1,1,12,www.football365.com
Text0526,http://www.dailystar.co.uk/football/view/299501/David-Bentley-insists-he-ll-put-jokes-behind-him-to-make-it-at-Blackburn-/,0,174,5,3,4,14,0,4,23,5,0,0,0,2,42,1,0,5,1,0,12,6,1,0,0,1,0,5,0,1,6,4,1,5,7,0,0,0,0,0,5,2,0,0,13,3,0,2,0,2,0,11,0,6,1,7,5,1,1,15,www.dailystar.co.uk
Text0527,http://www.foxsportsnorth.com/01/28/13/Vikings-Rudolph-takes-home-Pro-Bowl-MVP/landing_mnvikings.html?blockID=855585&feedID=3697,0,326,23,3,15,37,0,4,32,23,1,0,0,0,89,4,0,29,0,0,3,3,10,0,0,3,2,7,0,0,21,7,4,5,5,0,0,0,0,0,4,2,0,0,19,12,0,0,0,1,0,4,1,21,0,5,5,1,1,15,www.foxsportsnorth.com
Text0528,http://msn.foxsports.com/wcbk/story/No-16-Texas-AM-77-Missouri-58-66604270,0,111,5,1,18,9,0,2,12,4,0,0,0,0,21,3,0,15,0,0,0,2,1,0,0,0,0,1,0,0,7,1,1,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,2,0,7,0,0,0,1,1,15,msn.foxsports.com
Text0529,http://www.nba.com/pistons/features/truebluepistons_130213.html,0,1356,73,23,78,125,0,24,147,102,3,0,0,6,217,2,0,76,0,11,62,14,58,3,1,12,0,33,0,8,89,34,15,21,28,11,7,1,6,0,43,0,0,0,62,48,0,3,0,9,2,36,7,89,8,28,21,1,1,27,www.nba.com
Text0530,http://msn.foxsports.com/ufc/story/matt-hughes-retires-becomes-ufc-vice-president-of-athlete-development-012413,0,618,24,10,14,50,2,3,52,46,0,3,0,16,112,5,0,44,0,6,21,5,23,0,0,1,0,18,0,3,28,12,10,8,14,3,5,0,1,0,13,0,0,0,34,27,0,0,0,6,4,11,3,28,3,14,8,1,1,38,msn.foxsports.com
Text0531,http://msn.foxsports.com/tennis/story/australian-open-bob-bryan-mike-bryan-brothers-win-record-13th-grand-slam-doubles-title-012613,0,443,17,2,20,35,0,5,41,33,1,3,0,1,87,1,0,28,0,0,25,10,18,0,3,3,8,10,0,1,27,12,10,13,7,0,3,0,2,0,11,11,1,0,29,15,0,0,0,8,1,21,7,27,1,7,13,1,1,13,msn.foxsports.com
Text0532,http://msn.foxsports.com/foxsoccer/laliga/story/real-madrid-barcelona-set-to-face-off-in-semifinals-copa-del-rey-012413,0,942,70,23,16,84,1,39,92,67,2,1,0,7,195,12,0,55,2,10,19,13,55,0,1,4,1,17,0,3,34,19,21,19,22,4,5,0,3,0,30,2,0,0,41,46,0,2,0,5,1,20,4,34,3,22,19,1,1,22,msn.foxsports.com
Text0533,http://msn.foxsports.com/collegebasketball/story/la-salle-explorers-upset-no-19-vcu-rams-012613,0,860,49,14,67,99,0,16,100,52,2,2,0,0,172,5,0,56,0,0,17,10,27,0,0,2,5,12,0,1,58,20,8,13,6,2,4,0,3,0,29,10,1,0,40,44,0,2,0,8,3,12,4,58,1,6,13,1,1,20,msn.foxsports.com
Text0534,http://uk.eurosport.yahoo.com/news/football-poignant-evening-ahead-low-profile-barca-coach-193330443.html,0,272,14,5,6,27,0,4,32,20,2,1,0,0,76,1,0,14,0,0,8,2,8,0,0,1,0,4,0,0,18,8,5,6,4,1,5,0,2,0,4,7,0,0,14,9,0,0,0,0,0,9,3,18,0,4,6,1,1,17,uk.eurosport.yahoo.com
Text0535,http://msn.foxsports.com/foxsoccer/world/story/brazil-raises-expected-cost-of-world-cup-by-15-percent-011813,0,151,4,1,12,18,0,0,22,10,1,0,0,1,44,0,0,9,0,0,0,0,2,1,0,0,1,2,0,0,4,2,3,0,6,1,0,0,0,0,2,2,0,0,6,6,0,0,0,0,0,0,2,4,0,6,0,1,1,18,msn.foxsports.com
Text0536,http://msn.foxsports.com/wnba/story/Jackson-undergoes-surgery-for-hamstring-injury-44960313,0,188,7,6,1,19,0,0,21,20,0,0,0,1,56,1,0,6,0,0,3,1,3,0,1,0,0,11,0,0,8,4,10,0,4,2,0,0,0,0,3,2,0,0,6,4,0,0,0,0,0,4,1,8,0,4,0,1,1,23,msn.foxsports.com
Text0537,http://formula-one.speedtv.com/article/f1-mario-andretti-says-vettel-is-a-worthy-champion/,0,431,18,5,12,42,0,10,51,33,1,0,0,5,79,0,0,16,1,6,22,1,22,0,0,1,0,8,0,3,11,9,6,1,19,2,0,0,2,0,10,0,0,0,21,23,0,0,0,1,3,5,1,11,3,19,1,1,1,28,formula-one.speedtv.com
Text0538,http://msn.foxsports.com/foxsoccer/premierleague/story/manchester-united-agrees-fee-for-wilfried-zaha-crystal-palace-012513,0,77,2,0,0,5,0,0,4,4,0,0,0,1,37,1,0,1,0,0,0,0,2,0,0,0,1,3,0,0,3,1,5,0,2,0,0,0,0,0,1,5,0,0,8,1,0,3,0,0,0,0,0,3,0,2,0,1,1,7,msn.foxsports.com
Text0539,http://uk.eurosport.yahoo.com/news/six-nations-england-stick-squad-france-clash-184522718.html,0,183,6,3,4,6,0,17,9,7,0,0,0,2,50,0,0,17,0,0,2,1,7,0,0,0,2,2,0,0,5,4,0,2,0,2,1,0,0,0,0,2,0,0,4,14,0,1,0,1,0,2,0,5,0,0,2,1,1,30,uk.eurosport.yahoo.com
Text0540,http://msn.foxsports.com/nba/story/san-antonio-spurs-crush-los-angels-clippers-022113,0,747,51,11,42,71,1,13,77,43,0,4,0,2,159,6,0,40,1,0,24,18,23,1,0,3,12,19,0,5,55,16,14,8,18,1,5,0,4,0,18,14,0,0,55,24,0,1,0,9,3,22,5,55,5,18,8,1,1,14,msn.foxsports.com
Text0541,http://www.nba.com/pistons/news/postgame-quotes-january-27-2013,0,2003,109,62,34,185,4,49,198,142,1,3,0,13,286,1,0,76,0,10,169,25,98,0,1,16,7,68,0,18,110,44,8,55,51,8,5,0,10,0,59,0,1,0,118,73,2,12,0,80,24,48,5,110,18,51,55,1,1,19,www.nba.com
Text0542,http://uk.eurosport.yahoo.com/news/biathlon-zagoruiko-semenov-win-individual-titles-europeans-191136563.html,0,173,7,5,11,15,0,5,21,11,0,0,0,1,46,2,0,6,0,0,5,1,9,0,0,1,0,3,0,0,14,4,3,1,0,0,1,0,0,0,5,3,0,0,7,3,0,2,0,0,0,4,0,14,0,0,1,1,1,19,uk.eurosport.yahoo.com
Text0543,http://msn.foxsports.com/nascar/story/rolex-24-at-daytona-chip-ganassi-racing-scott-pruett-juan-pablo-montoya-012713,0,651,27,19,23,62,1,7,69,42,2,1,0,2,147,1,0,35,0,5,21,7,24,0,1,5,0,21,0,4,40,8,9,6,9,2,2,0,5,0,21,0,0,0,36,32,0,4,0,7,4,9,4,40,4,9,6,1,1,22,msn.foxsports.com
Text0544,http://msn.foxsports.com/olympics/story/london-games-correspondents-best-memories-081212,1,1953,102,39,27,177,3,47,190,110,8,13,0,23,346,0,0,137,0,16,98,50,75,0,0,6,0,54,1,17,134,31,41,16,26,3,22,0,17,0,68,1,4,3,93,103,0,9,0,20,3,72,21,134,17,26,16,1,1,19,msn.foxsports.com
Text0545,http://www.herald.ie/sport/rugby/warriors-to-top-ulster-29088062.html,0,136,4,0,1,5,0,26,3,4,0,0,0,0,49,1,0,1,0,0,0,2,0,0,0,0,2,1,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,3,22,6,2,0,0,0,2,0,1,1,2,0,1,1,27,www.herald.ie
Text0546,http://www.dailystar.co.uk/football/view/299486/Liverpool-ace-Lucas-hails-fellow-samba-star-Philippe-Coutinho/,0,469,16,9,9,37,1,3,49,34,1,0,0,13,86,4,0,20,0,3,45,2,20,0,0,0,0,12,0,1,15,13,5,9,16,4,0,0,2,0,15,0,0,0,27,9,0,3,0,15,0,14,1,15,1,16,9,1,1,26,www.dailystar.co.uk
Text0547,http://msn.foxsports.com/nhl/story/Penguins-2-Senators-1-SO-79300694,0,400,11,8,13,41,0,11,54,22,1,0,0,1,92,4,0,22,0,0,15,3,12,0,0,1,8,9,0,1,32,2,6,5,7,1,1,0,2,0,14,10,0,0,25,6,0,3,0,6,0,5,1,32,1,7,5,1,1,15,msn.foxsports.com
Text0548,http://espn.go.com/womens-college-basketball/story/_/id/8719148/women-college-basketball-odyssey-sims-returns-baylor-lady-bears,0,1111,61,18,40,88,0,10,107,57,3,3,0,7,221,9,0,82,0,0,43,15,74,0,0,3,12,21,0,6,60,20,21,13,33,2,7,0,8,0,45,23,1,0,64,59,1,3,0,2,5,41,6,60,6,33,13,1,1,16,espn.go.com
